Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-02-23-14-39/trial-01-0008/0003,"{""field"": ""[\""spec\"", \""podTemplateSpec\"", \""spec\"", \""volumes\""]"", ""testcase"": ""array-empty""}",True,,message='pod: cass-operator-controller-manager-654655489c-mjflt container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0009/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0009/0001,"{""field"": ""[\""spec\"", \""storageConfig\"", \""additionalVolumes\"", 0, \""volumeSource\"", \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""accessModes\"", 0]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0009/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-khl2g container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0009/0003,"{""field"": ""[\""spec\"", \""storageConfig\"", \""additionalVolumes\"", 0, \""volumeSource\"", \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""accessModes\"", 0]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0009/0004,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-khl2g container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0009/0005,"{""field"": ""[\""spec\"", \""storageConfig\"", \""additionalVolumes\"", 0, \""volumeSource\"", \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""accessModes\"", 0]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0009/0006,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-khl2g container [manager] restart_count [2]',,,None,
testrun-2024-02-23-14-39/trial-01-0009/0007,"{""field"": ""[\""spec\"", \""storageConfig\"", \""cassandraDataVolumeClaimSpec\"", \""accessModes\"", 0]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0009/0008,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-khl2g container [manager] restart_count [3]',,,None,
testrun-2024-02-23-14-39/trial-01-0009/0009,"{""field"": ""[\""spec\"", \""storageConfig\"", \""cassandraDataVolumeClaimSpec\"", \""accessModes\"", 0]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0009/0010,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-khl2g container [manager] restart_count [4]',,,None,
testrun-2024-02-23-14-39/trial-01-0010/0000,{},False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0010/0001,"{""field"": ""[\""spec\"", \""storageConfig\"", \""cassandraDataVolumeClaimSpec\"", \""accessModes\"", 0]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-23-14-39/trial-01-0010/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: cass-operator-controller-manager-654655489c-wwdl7 container [manager] restart_count [1]',,,None,
testrun-2024-02-23-14-39/trial-01-0011/0000,{},False,,,,,None,
