Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
163b728ee9062f0ce74d3bde6108b9be/0000,163b728ee9062f0ce74d3bde6108b9be,True,,,,,testrun-2024-02-25-18-56/trial-01-0010/0004 -> 163b728ee9062f0ce74d3bde6108b9be/0000: failed attempt recovering to seed state - system state diff,
4f4b2b01a623234d46c7977c523eb8cf/0000,4f4b2b01a623234d46c7977c523eb8cf,True,,,,,testrun-2024-02-25-18-56/trial-01-0006/0005 -> 4f4b2b01a623234d46c7977c523eb8cf/0000: failed attempt recovering to seed state - system state diff,
testrun-2024-02-25-18-56/trial-00-0000/0000,{},False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-00-0000/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-00-0000/0002,"{""field"": ""[\""status\"", \""conditions\"", 0, \""lastTransitionTime\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-00-0000/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-00-0000/0004,"{""field"": ""[\""status\"", \""conditions\"", 0, \""lastTransitionTime\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-00-0000/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-00-0000/0006,"{""field"": ""[\""status\"", \""conditions\"", 0, \""lastTransitionTime\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-00-0000/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0000/0000,{},False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0000/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0000/0002,"{""field"": ""[\""spec\"", \""mysqlNode\"", \""initScripts\"", \""ACTOKEY\""]"", ""testcase"": ""array-pop""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""mysqlNode"", ""initScripts"", ""ACTOKEY"", 0]",,None,
testrun-2024-02-25-18-56/trial-01-0000/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0000/0004,"{""field"": ""[\""spec\"", \""mysqlNode\"", \""initScripts\"", \""ACTOKEY\""]"", ""testcase"": ""array-empty""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0000/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0000/0006,"{""field"": ""[\""status\"", \""conditions\""]"", ""testcase"": ""array-deletion""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0000/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0000/0008,"{""field"": ""[\""status\"", \""conditions\""]"", ""testcase"": ""array-push""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0000/0009,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0001/0000,{},False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0001/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0001/0002,"{""field"": ""[\""status\"", \""conditions\""]"", ""testcase"": ""array-pop""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0001/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0001/0004,"{""field"": ""[\""status\"", \""conditions\""]"", ""testcase"": ""array-empty""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0001/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0001/0006,"{""field"": ""[\""spec\"", \""mysqlNode\"", \""initScripts\""]"", ""testcase"": ""object-deletion""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""mysqlNode"", ""initScripts"", ""ACTOKEY"", 0]",,None,
testrun-2024-02-25-18-56/trial-01-0001/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0001/0008,"{""field"": ""[\""spec\"", \""mysqlNode\"", \""initScripts\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0001/0009,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0002/0000,{},False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0002/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0002/0002,"{""field"": ""[\""spec\"", \""image\""]"", ""testcase"": ""string-deletion""}",False,,message='statefulset: test-cluster-mgmd replicas [2] ready_replicas [1]\npod: test-cluster-mgmd-1',,"message='Invalid input determined from status message: pod ""test-cluster-mgmd-1"" struck in waiting state : InvalidImageName : Failed to apply default image tag ""ACTOKEY"": couldn\'t parse image name ""ACTOKEY"": invalid reference format: repository name must be lowercase' responsible_property=[]",None,
testrun-2024-02-25-18-56/trial-01-0003/0000,{},False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0003/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0003/0002,"{""field"": ""[\""spec\"", \""image\""]"", ""testcase"": ""string-change""}",False,,message='statefulset: test-cluster-mgmd replicas [2] ready_replicas [1]\npod: test-cluster-mgmd-1',,"message='Invalid input determined from status message: pod ""test-cluster-mgmd-1"" struck in waiting state : InvalidImageName : Failed to apply default image tag ""ACTOKEY"": couldn\'t parse image name ""ACTOKEY"": invalid reference format: repository name must be lowercase' responsible_property=[]",None,
testrun-2024-02-25-18-56/trial-01-0004/0000,{},False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0004/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0005/0000,{},False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0005/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0005/0002,"{""field"": ""[\""spec\"", \""managementNode\"", \""config\""]"", ""testcase"": ""object-empty""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0005/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0005/0004,"{""field"": ""[\""spec\"", \""dataNode\"", \""ndbPodSpec\"", \""affinity\""]"", ""testcase"": ""k8s-all_on_one_node""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0005/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0005/0006,"{""field"": ""[\""spec\"", \""dataNode\"", \""ndbPodSpec\"", \""affinity\""]"", ""testcase"": ""k8s-all_on_different_nodes""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0005/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0005/0008,"{""field"": ""[\""spec\"", \""dataNode\"", \""ndbPodSpec\"", \""affinity\""]"", ""testcase"": ""k8s-invalid_affinity""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0005/0009,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0006/0000,{},False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0006/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-02-25-18-56/trial-01-0006/0002,"{""field"": ""[\""spec\"", \""dataNode\"", \""ndbPodSpec\"", \""affinity\""]"", ""testcase"": ""k8s-null_affinity""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0006/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,message='Invalid input detected' responsible_property=[],,None,
testrun-2024-02-25-18-56/trial-01-0006/0004,"{""field"": ""[\""kind\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
