Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-03-05-20-31/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""connectionInfo\"", \""readOnlyAcl\"", \""secret\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""connectionInfo\"", \""readOnlyAcl\"", \""secret\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""connectionInfo\"", \""readOnlyAcl\"", \""secret\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""connectionInfo\"", \""readOnlyAcl\"", \""secret\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0000/0005,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""provided\"", \""containers\"", 0, \""resources\""]"", ""testcase"": ""invalid-resourceRequirements""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0000/0006,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""provided\"", \""containers\"", 0, \""resources\""]"", ""testcase"": ""resourceRequirements-change""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0000/0007,"{""field"": ""[\""spec\"", \""customSolrKubeOptions\"", \""podOptions\"", \""sidecarContainers\"", 0, \""resources\"", \""claims\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0000/0008,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""provided\"", \""containers\"", 0, \""env\"", 0, \""valueFrom\"", \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_increase""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0000/0009,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""provided\"", \""containers\"", 0, \""env\"", 0, \""valueFrom\"", \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_increase""}",True,,,,"message='Found no matching fields for input' input_diff=Diff(prev='2000m', curr='4', path=[""spec"", ""zookeeperRef"", ""provided"", ""containers"", 0, ""env"", 0, ""valueFrom"", ""resourceFieldRef"", ""divisor""]) system_state_diff=None",None,
testrun-2024-03-05-20-31/trial-00-0001/0000,{},False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""provided\"", \""containers\"", 0, \""env\"", 0, \""valueFrom\"", \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_decrease""}",True,,message='statefulset: test-cluster-solrcloud-zookeeper replicas [2] ready_replicas [2]',,,None,
testrun-2024-03-05-20-31/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""customSolrKubeOptions\"", \""podOptions\"", \""tolerations\"", 0]"", ""testcase"": ""k8s-plain_toleration""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0002/0002,"{""field"": ""[\""spec\"", \""customSolrKubeOptions\"", \""podOptions\"", \""tolerations\"", 0]"", ""testcase"": ""k8s-control_plane_toleration""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0003/0000,{},False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""zookeeperRef\"", \""provided\"", \""volumes\""]"", ""testcase"": ""array-empty""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0003/0002,"{""field"": ""[\""spec\"", \""busyBoxImage\"", \""tag\""]"", ""testcase"": ""string-deletion""}",True,,message='statefulset: test-cluster-solrcloud replicas [3] ready_replicas [2]\npod: test-cluster-solrcloud-1',,,None,
testrun-2024-03-05-20-31/trial-00-0004/0000,{},True,,message='statefulset: test-cluster-solrcloud-zookeeper replicas [3] ready_replicas [2]',,,None,
testrun-2024-03-05-20-31/trial-00-0005/0000,{},False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0005/0001,"{""field"": ""[\""spec\"", \""busyBoxImage\"", \""tag\""]"", ""testcase"": ""string-change""}",True,,message='statefulset: test-cluster-solrcloud replicas [3] ready_replicas [2]\npod: test-cluster-solrcloud-2',,,None,
testrun-2024-03-05-20-31/trial-00-0006/0000,{},False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0006/0001,"{""field"": ""[\""spec\"", \""busyBoxImage\"", \""tag\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0006/0002,"{""field"": ""[\""spec\"", \""solrAddressability\"", \""external\"", \""hideNodes\""]"", ""testcase"": ""boolean-deletion""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0006/0003,"{""field"": ""[\""spec\"", \""solrAddressability\"", \""external\"", \""hideNodes\""]"", ""testcase"": ""boolean-deletion""}",False,,,,,None,
testrun-2024-03-05-20-31/trial-00-0006/0004,"{""field"": ""[\""spec\"", \""solrAddressability\"", \""external\"", \""hideNodes\""]"", ""testcase"": ""boolean-toggle-off""}",False,,,,,None,
