Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
6a5ffc98a15d48e395e9aa4bd9949143/0000,6a5ffc98a15d48e395e9aa4bd9949143,False,,,,,testrun-2024-03-01-10-28/trial-01-0015/0001 -> 6a5ffc98a15d48e395e9aa4bd9949143/0000: failed attempt recovering to seed state - system state diff,
testrun-2024-03-01-10-28/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0000/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""repo\"", \""autotls\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0000/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""repo\"", \""autotls\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0000/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0000/0006,"{""field"": ""[\""spec\"", \""repo\"", \""autotls\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0000/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0000/0008,"{""field"": ""[\""spec\"", \""repo\"", \""volumes\"", 0, \""ephemeral\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0000/0009,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0000,{},False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0002,"{""field"": ""[\""spec\"", \""repo\"", \""volumes\"", 0, \""ephemeral\""]"", ""testcase"": ""object-empty""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0004,"{""field"": ""[\""spec\"", \""resourceIgnoreDifferences\"", \""resourceIdentifiers\"", 0, \""customization\"", \""jsonPointers\"", 0]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0006,"{""field"": ""[\""spec\"", \""resourceIgnoreDifferences\"", \""resourceIdentifiers\"", 0, \""customization\"", \""jsonPointers\"", 0]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0007,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0008,"{""field"": ""[\""spec\"", \""resourceIgnoreDifferences\"", \""resourceIdentifiers\"", 0, \""customization\"", \""jsonPointers\"", 0]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0001/0009,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0002/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0002/0002,"{""field"": ""[\""spec\"", \""repo\"", \""env\"", 0, \""valueFrom\"", \""configMapKeyRef\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0002/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0002/0004,"{""field"": ""[\""spec\"", \""server\"", \""route\"", \""tls\"", \""termination\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0002/0005,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0003/0000,{},False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0003/0001,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0003/0002,"{""field"": ""[\""spec\"", \""grafana\"", \""ingress\"", \""annotations\""]"", ""testcase"": ""object-deletion""}",False,,,,,None,
testrun-2024-03-01-10-28/trial-00-0003/0003,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
