Trial number,testcase,baseline_alarm,baseline_crash_result,baseline_health_result,baseline_recovery_result,baseline_state_result,baseline_custom_result
trial-00-0000,"{'field': '[""spec"", ""affinity"", ""tenancy""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""affinity"", ""tenancy""]', 'testcase': 'SharedNode'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0000,"{'field': '[""spec"", ""affinity"", ""tenancy""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0001,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,"{'field': '[""spec"", ""affinity"", ""tenancy""]', 'testcase': 'DedicatedNode'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0002,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""backup"", ""method""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""componentSpecs"", 0, ""userResourceRefs"", ""configMapRefs"", 0, ""configMap"", ""optional""]', 'testcase': 'boolean-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""backup"", ""method""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""backup"", ""method""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0003,"{'field': '[""spec"", ""backup"", ""method""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0004,"{'field': '[""spec"", ""componentSpecs"", 0, ""userResourceRefs"", ""configMapRefs"", 0, ""configMap"", ""optional""]', 'testcase': 'boolean-toggle-off'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0005,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0006,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0006,"{'field': '[""spec"", ""componentSpecs"", 0, ""userResourceRefs"", ""configMapRefs"", 0, ""configMap"", ""optional""]', 'testcase': 'boolean-toggle-on'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0007,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0007,"{'field': '[""spec"", ""componentSpecs"", 0, ""services"", 0, ""annotations"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0007,"{'field': '[""spec"", ""componentSpecs"", 0, ""services"", 0, ""annotations"", ""ACTOKEY""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0008,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0009,"{'field': '[""spec"", ""componentSpecs"", 0, ""services"", 0, ""annotations"", ""ACTOKEY""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0009,"{'field': '[""spec"", ""componentSpecs"", 0, ""services"", 0, ""annotations"", ""ACTOKEY""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0009,"{'field': '[""spec"", ""componentSpecs"", 0, ""services"", 0, ""annotations"", ""ACTOKEY""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0009,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0010,"{'field': '[""spec"", ""services"", 0, ""roleSelector""]', 'testcase': 'string-change'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0010,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0010,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0010,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0010,"{'field': '[""spec"", ""services"", 0, ""roleSelector""]', 'testcase': 'string-empty'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0010,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0010,"{'field': '[""spec"", ""services"", 0, ""roleSelector""]', 'testcase': 'string-deletion'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0011,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0012,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0013,,False,Pass,Pass,Pass,Pass,Pass
trial-00-0014,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
trial-00-0014,"{'field': '', 'testcase': 'revert'}",False,Pass,Pass,Pass,Pass,Pass
