Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-03-07-14-06/trial-00-0000/0000,{},False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""extensions\"", \""custom\"", 0, \""checksum\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""extensions\"", \""custom\"", 0, \""checksum\""]"", ""testcase"": ""string-deletion""}",False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""extensions\"", \""custom\"", 0, \""checksum\""]"", ""testcase"": ""string-change""}",False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""extensions\"", \""custom\"", 0, \""checksum\""]"", ""testcase"": ""string-empty""}",False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0000/0005,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""options\"", 0]"", ""testcase"": ""string-deletion""}",True,message='Pod test-cluster-pgbackrest-restore-c89fr crashed',"message='pod: test-cluster-pgbackrest-restore-c89fr, test-cluster-pgbackrest-restore-hgdbz, test-cluster-pgbackrest-restore-l7qcm, test-cluster-pgbackrest-restore-srwz7, test-cluster-pgbackrest-restore-t5vsh'",,,None,
testrun-2024-03-07-14-06/trial-00-0001/0000,{},False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""options\"", 0]"", ""testcase"": ""string-change""}",True,message='Pod test-cluster-backup-fkwp-lgjn8 crashed',"message='pod: test-cluster-backup-fkwp-lgjn8, test-cluster-backup-fkwp-pq6xf, test-cluster-pgbackrest-restore-6ltdt, test-cluster-pgbackrest-restore-bg8rs, test-cluster-pgbackrest-restore-jdwfz, test-cluster-pgbackrest-restore-pttc9, test-cluster-pgbackrest-restore-vwhfz'",,,None,
testrun-2024-03-07-14-06/trial-00-0002/0000,{},False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""options\"", 0]"", ""testcase"": ""string-empty""}",True,message='Pod test-cluster-backup-vsx8-995gv crashed',"message='pod: test-cluster-backup-vsx8-995gv, test-cluster-backup-vsx8-h4rhc, test-cluster-pgbackrest-restore-5nr9p, test-cluster-pgbackrest-restore-nczzp, test-cluster-pgbackrest-restore-s4fzf, test-cluster-pgbackrest-restore-zshn4, test-cluster-pgbackrest-restore-zvcgt'",,,None,
testrun-2024-03-07-14-06/trial-00-0003/0000,{},False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""sidecars\"", 0, \""resources\"", \""claims\"", 0, \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0003/0002,"{""field"": ""[\""spec\"", \""instances\"", 0, \""sidecars\"", 0, \""env\"", 0, \""valueFrom\"", \""fieldRef\"", \""apiVersion\""]"", ""testcase"": ""k8s-change_api_version""}",True,message='Pod test-cluster-backup-vv2w-q9xxx crashed',message='statefulset: test-cluster-instance1-hr6n replicas [0] ready_replicas [None]\npod: test-cluster-backup-vv2w-q9xxx',,,None,
testrun-2024-03-07-14-06/trial-00-0004/0000,{},False,,,,,None,
testrun-2024-03-07-14-06/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""secrets\""]"", ""testcase"": ""object-deletion""}",False,,,"message='Invalid input detected' responsible_property=[""spec"", ""secrets"", ""customReplicationTLSSecret"", ""items"", 0, ""key""]",,None,
testrun-2024-03-07-14-06/trial-00-0004/0002,"{""field"": """", ""testcase"": ""revert""}",False,,,,,None,
