,Trial number,Testcase,Alarm,Crash,Health,Operator log,Consistency,Differential,Custom,Is true alarm,CR change,Comment
50,testrun-2024-02-18-15-43/trial-02-0051/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""configuration\""]"", ""testcase"": ""array-deletion""}",True,message='Pod test-cluster-backup-zplg-qnhvb crashed',"message='pod: test-cluster-backup-zplg-qnhvb, pgo-76698867bf-8xzvc container [operator] restart_count [1]'",,,None,,FALSE,Deletes pgbackup config,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0052/0000,{},False,,,,,None,,,,
51,testrun-2024-02-18-15-43/trial-02-0052/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""configuration\""]"", ""testcase"": ""array-push""}",True,message='Pod test-cluster-backup-wfht-6689l crashed',"message='pod: test-cluster-backup-wfht-6689l, test-cluster-backup-wfht-82l76, test-cluster-backup-wfht-sl9tm, test-cluster-pgbackrest-restore-24v8l, test-cluster-pgbackrest-restore-2qnfx, test-cluster-pgbackrest-restore-h2fpx, test-cluster-pgbackrest-restore-knttm, test-cluster-pgbackrest-restore-nnr4w, test-cluster-pgbackrest-restore-phx5f, pgo-76698867bf-qw9dc container [operator] restart_count [4]'",,,None,,FALSE,Add one pgbackup config element,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0053/0000,{},False,,,,,None,,,,
52,testrun-2024-02-18-15-43/trial-02-0053/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""configuration\""]"", ""testcase"": ""array-pop""}",True,message='Pod test-cluster-backup-kt4d-5nchv crashed',"message='pod: test-cluster-backup-kt4d-5nchv, test-cluster-backup-kt4d-ch9tq, test-cluster-backup-kt4d-vx954, pgo-76698867bf-qg8dv container [operator] restart_count [3]'",,,None,,FALSE,Deletes one element from pgbackup config,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0054/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0055/0000,{},False,,,,,None,,,,
53,testrun-2024-02-18-15-43/trial-02-0055/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""service\"", \""metadata\"", \""labels\""]"", ""testcase"": ""object-deletion""}",True,,message='pod: pgo-76698867bf-zqlxn container [operator] restart_count [1]',,,None,,FALSE,Deletes metadata labels from pgBouncer service,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0056/0000,{},False,,,,,None,,,,
54,testrun-2024-02-18-15-43/trial-02-0056/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""service\"", \""metadata\"", \""labels\""]"", ""testcase"": ""object-empty""}",True,,message='pod: pgo-76698867bf-lnjnc container [operator] restart_count [1]',,,None,,FALSE,Sets metadata labels object of pgBouncer service to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0057/0000,{},False,,,,,None,,,,
55,testrun-2024-02-18-15-43/trial-02-0057/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""tablespaceVolumes\"", 0, \""dataVolumeClaimSpec\"", \""accessModes\"", 0]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-4b2z9 container [operator] restart_count [1]',,,None,,FALSE,Deletes accessModes value,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0058/0000,{},False,,,,,None,,,,
56,testrun-2024-02-18-15-43/trial-02-0058/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""tablespaceVolumes\"", 0, \""dataVolumeClaimSpec\"", \""accessModes\"", 0]"", ""testcase"": ""string-change""}",True,,message='pod: pgo-76698867bf-9bvm9 container [operator] restart_count [1]',,,None,,FALSE,Changes accessMode value,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0059/0000,{},False,,,,,None,,,,
57,testrun-2024-02-18-15-43/trial-02-0059/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""tablespaceVolumes\"", 0, \""dataVolumeClaimSpec\"", \""accessModes\"", 0]"", ""testcase"": ""string-empty""}",True,,message='pod: pgo-76698867bf-7n8th container [operator] restart_count [1]',,,None,,FALSE,Sets accessMode field to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0060/0000,{},False,,,,,None,,,,
58,testrun-2024-02-18-15-43/trial-02-0060/0001,"{""field"": ""[\""spec\"", \""userInterface\"", \""pgAdmin\"", \""config\"", \""files\"", 0, \""configMap\"", \""name\""]"", ""testcase"": ""invalid-name""}",True,,message='pod: pgo-76698867bf-7xbzd container [operator] restart_count [1]',,,None,,FALSE,Sets the configMap name of pgAdmin to be an invalid value,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0061/0000,{},False,,,,,None,,,,
59,testrun-2024-02-18-15-43/trial-02-0061/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""repos\"", 0, \""schedules\""]"", ""testcase"": ""object-deletion""}",True,,message='pod: pgo-76698867bf-gmlpz container [operator] restart_count [1]',,,None,,FALSE,Deletes the repo object from pgbackrest repos,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0062/0000,{},False,,,,,None,,,,
60,testrun-2024-02-18-15-43/trial-02-0062/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""repos\"", 0, \""schedules\""]"", ""testcase"": ""object-empty""}",True,,message='pod: pgo-76698867bf-m6qvx container [operator] restart_count [1]',,,None,,FALSE,Sets the repo object from pgbackrest repos to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0063/0000,{},False,,,,,None,,,,
61,testrun-2024-02-18-15-43/trial-02-0063/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""config\"", \""global\""]"", ""testcase"": ""object-deletion""}",True,message='Pod test-cluster-pgbouncer-7b46d4487f-v2kmx crashed',"message='deployment: test-cluster-pgbouncer replicas [1] ready_replicas [None], test-cluster-pgbouncer condition [Available] status [False] message [Deployment does not have minimum availability.]\npod: pgo-76698867bf-rbkhc container [operator] restart_count [4], test-cluster-pgbouncer-7b46d4487f-v2kmx container [pgbouncer] restart_count [6]'",,,None,,FALSE,"Sets pgBouncer config object with invalid value ""ACTOKEY""",pgBouncer complains about an invalid configuration value actokey
,testrun-2024-02-18-15-43/trial-02-0064/0000,{},False,,,,,None,,,,
62,testrun-2024-02-18-15-43/trial-02-0064/0001,"{""field"": ""[\""spec\"", \""proxy\"", \""pgBouncer\"", \""config\"", \""global\""]"", ""testcase"": ""object-empty""}",True,,message='pod: pgo-76698867bf-w76s5 container [operator] restart_count [1]',,,None,,FALSE,Sets pgBouncer config to be an empty object,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0065/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0066/0000,{},False,,,,,None,,,,
63,testrun-2024-02-18-15-43/trial-02-0066/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""containers\"", 0, \""command\""]"", ""testcase"": ""array-pop""}",True,,message='pod: pgo-76698867bf-hn2bx container [operator] restart_count [1]',,,None,,FALSE,Pops an element from pgBouncer global config,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0067/0000,{},False,,,,,None,,,,
64,testrun-2024-02-18-15-43/trial-02-0067/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""containers\"", 0, \""command\""]"", ""testcase"": ""array-empty""}",True,,message='pod: pgo-76698867bf-gvs9p container [operator] restart_count [1]',,,None,,FALSE,Sets pgBouncer global config array to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0068/0000,{},False,,,,,None,,,,
65,testrun-2024-02-18-15-43/trial-02-0068/0001,"{""field"": ""[\""status\"", \""instances\"", 0]"", ""testcase"": ""object-deletion""}",True,,message='pod: pgo-76698867bf-fcplq container [operator] restart_count [1]',,,None,,FALSE,Deletes instances,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0069/0000,{},False,,,,,None,,,,
66,testrun-2024-02-18-15-43/trial-02-0069/0001,"{""field"": ""[\""status\"", \""instances\"", 0]"", ""testcase"": ""object-empty""}",True,,message='pod: pgo-76698867bf-v4xf2 container [operator] restart_count [1]',,,None,,FALSE,Sets instances to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0070/0000,{},False,,,,,None,,,,
67,testrun-2024-02-18-15-43/trial-02-0070/0001,"{""field"": ""[\""status\"", \""usersRevision\""]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-h747d container [operator] restart_count [1]',,,None,,FALSE,Deletes usersRevision value,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0071/0000,{},False,,,,,None,,,,
68,testrun-2024-02-18-15-43/trial-02-0071/0001,"{""field"": ""[\""status\"", \""usersRevision\""]"", ""testcase"": ""string-change""}",True,,message='pod: pgo-76698867bf-9t5c2 container [operator] restart_count [1]',,,None,,FALSE,Changes usersRevision value,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0072/0000,{},False,,,,,None,,,,
69,testrun-2024-02-18-15-43/trial-02-0072/0001,"{""field"": ""[\""status\"", \""usersRevision\""]"", ""testcase"": ""string-empty""}",True,,message='pod: pgo-76698867bf-fm99m container [operator] restart_count [1]',,,None,,FALSE,Sets usersRevision value to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0073/0000,{},False,,,,,None,,,,
70,testrun-2024-02-18-15-43/trial-02-0073/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""image\""]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-b75jx container [operator] restart_count [1]',,,None,,ACTO MISOPERATION,Deletes pgbackrest image value,Image value should not be deleted
,testrun-2024-02-18-15-43/trial-02-0074/0000,{},False,,,,,None,,,,
71,testrun-2024-02-18-15-43/trial-02-0074/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""image\""]"", ""testcase"": ""string-change""}",True,message='Pod test-cluster-backup-pdts-7d2np crashed',"message='statefulset: test-cluster-instance1-vxl5 replicas [1] ready_replicas [None], test-cluster-repo-host replicas [1] ready_replicas [None]\npod: test-cluster-backup-pdts-7d2np, test-cluster-backup-pdts-hjj47, test-cluster-backup-pdts-rd6hl, test-cluster-backup-pdts-rjxjf, test-cluster-backup-pdts-vwgd9, test-cluster-backup-pdts-zhhmz, test-cluster-instance1-vxl5-0, test-cluster-repo-host-0, pgo-76698867bf-c7nzn container [operator] restart_count [4]'",,,None,,ACTO MISOPERATION,Changes pgbackrest image,Image value should not be modified
,testrun-2024-02-18-15-43/trial-02-0075/0000,{},False,,,,,None,,,,
72,testrun-2024-02-18-15-43/trial-02-0075/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""image\""]"", ""testcase"": ""string-empty""}",True,,message='pod: pgo-76698867bf-6mqjt container [operator] restart_count [1]',,,None,,ACTO MISOPERATION,Sets pgbackrest image to be an empty string,Image value should not be empty
,testrun-2024-02-18-15-43/trial-02-0076/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0077/0000,{},False,,,,,None,,,,
73,testrun-2024-02-18-15-43/trial-02-0077/0001,"{""field"": ""[\""status\"", \""conditions\"", 0, \""reason\""]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-ldchp container [operator] restart_count [1]',,,None,,FALSE,Deletes status conditions resason,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0078/0000,{},False,,,,,None,,,,
74,testrun-2024-02-18-15-43/trial-02-0078/0001,"{""field"": ""[\""status\"", \""conditions\"", 0, \""reason\""]"", ""testcase"": ""string-change""}",True,,message='pod: pgo-76698867bf-xclfm container [operator] restart_count [1]',,,None,,FALSE,Changes status.conditions.reason,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0079/0000,{},False,,,,,None,,,,
75,testrun-2024-02-18-15-43/trial-02-0079/0001,"{""field"": ""[\""status\"", \""conditions\"", 0, \""reason\""]"", ""testcase"": ""string-empty""}",True,,message='pod: pgo-76698867bf-zwlr8 container [operator] restart_count [1]',,,None,,FALSE,Sets status.condition.reason to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0080/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0080/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""walVolumeClaimSpec\"", \""dataSource\"", \""name\""]"", ""testcase"": ""invalid-name""}",False,,,,,None,,,,
76,testrun-2024-02-18-15-43/trial-02-0080/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: pgo-76698867bf-cghbj container [operator] restart_count [1]',,,None,,FALSE,Not sure what acto is doing here since field is empty,test-cluster-backup is a job. Completed pod is marked as failed.
77,testrun-2024-02-18-15-43/trial-02-0080/0003,"{""field"": ""[\""spec\"", \""users\"", 0, \""databases\"", 0]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-cghbj container [operator] restart_count [2]',,,None,,FALSE,Deletes the value of the first element of databases array,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0081/0000,{},False,,,,,None,,,,
78,testrun-2024-02-18-15-43/trial-02-0081/0001,"{""field"": ""[\""spec\"", \""users\"", 0, \""databases\"", 0]"", ""testcase"": ""string-change""}",True,,message='pod: pgo-76698867bf-2j877 container [operator] restart_count [1]',,,None,,FALSE,Changes the value of the first element of databases array,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0082/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0082/0001,"{""field"": ""[\""spec\"", \""users\"", 0, \""databases\"", 0]"", ""testcase"": ""string-empty""}",False,,,,,None,,,,
79,testrun-2024-02-18-15-43/trial-02-0082/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: pgo-76698867bf-jt4hj container [operator] restart_count [1]',,,None,,FALSE,Not sure what acto is doing here since field is empty,test-cluster-backup is a job. Completed pod is marked as failed.
80,testrun-2024-02-18-15-43/trial-02-0082/0003,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""options\""]"", ""testcase"": ""array-deletion""}",True,,message='pod: pgo-76698867bf-jt4hj container [operator] restart_count [2]',,,None,,FALSE,Deletes restore options,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0083/0000,{},False,,,,,None,,,,
81,testrun-2024-02-18-15-43/trial-02-0083/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""options\""]"", ""testcase"": ""array-push""}",True,,message='pod: pgo-76698867bf-77kq5 container [operator] restart_count [1]',,,None,,FALSE,Adds one element to restore options,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0084/0000,{},False,,,,,None,,,,
82,testrun-2024-02-18-15-43/trial-02-0084/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""options\""]"", ""testcase"": ""array-pop""}",True,,message='pod: pgo-76698867bf-zfl4q container [operator] restart_count [1]',,,None,,FALSE,Pops one element from restore options,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0085/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0086/0000,{},False,,,,,None,,,,
83,testrun-2024-02-18-15-43/trial-02-0086/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""affinity\""]"", ""testcase"": ""k8s-invalid_affinity""}",True,,message='pod: pgo-76698867bf-q5m7r container [operator] restart_count [1]',,,None,,FALSE,Sets restore affinity to be an invalid value,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0087/0000,{},False,,,,,None,,,,
84,testrun-2024-02-18-15-43/trial-02-0087/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""affinity\""]"", ""testcase"": ""k8s-null_affinity""}",True,,message='pod: pgo-76698867bf-zdm2m container [operator] restart_count [1]',,,None,,FALSE,Sets restartore affinity to be null,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0088/0000,{},False,,,,,None,,,,
85,testrun-2024-02-18-15-43/trial-02-0088/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""tolerations\""]"", ""testcase"": ""array-deletion""}",True,,message='pod: pgo-76698867bf-chxdm container [operator] restart_count [1]',,,None,,FALSE,Deletes restore tolerations,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0089/0000,{},False,,,,,None,,,,
86,testrun-2024-02-18-15-43/trial-02-0089/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""tolerations\""]"", ""testcase"": ""array-push""}",True,,message='pod: pgo-76698867bf-ckpb7 container [operator] restart_count [1]',,,None,,FALSE,Adds one element to restore tolerations,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0090/0000,{},False,,,,,None,,,,
87,testrun-2024-02-18-15-43/trial-02-0090/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""tolerations\""]"", ""testcase"": ""array-pop""}",True,,message='pod: pgo-76698867bf-fprf9 container [operator] restart_count [1]',,,None,,FALSE,Pops one element from restore tolerations,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0091/0000,{},False,,,,,None,,,,
88,testrun-2024-02-18-15-43/trial-02-0091/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""restore\"", \""tolerations\""]"", ""testcase"": ""array-empty""}",True,,message='pod: pgo-76698867bf-hnrzw container [operator] restart_count [1]',,,None,,FALSE,Sets the restore tolerations array to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0092/0000,{},False,,,,,None,,,,
89,testrun-2024-02-18-15-43/trial-02-0092/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""repo\"", \""schedules\"", \""incremental\""]"", ""testcase"": ""string-deletion""}",True,message='Pod test-cluster-backup-2jxq-4mj2w crashed',"message='pod: test-cluster-backup-2jxq-4mj2w, test-cluster-backup-2jxq-c5pkc, test-cluster-backup-2jxq-q695z, test-cluster-pgbackrest-restore-k8thv, test-cluster-pgbackrest-restore-l5mjr, test-cluster-pgbackrest-restore-lv54b, test-cluster-pgbackrest-restore-nvlk8, test-cluster-pgbackrest-restore-vjqk5, test-cluster-pgbackrest-restore-xx48x, pgo-76698867bf-9pw7g container [operator] restart_count [3]'",,,None,,FALSE,Deletes string value for pgbackrest.repo.schedules.incremental,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0093/0000,{},False,,,,,None,,,,
90,testrun-2024-02-18-15-43/trial-02-0093/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""repo\"", \""schedules\"", \""incremental\""]"", ""testcase"": ""string-change""}",True,message='Pod test-cluster-backup-drqd-n6jvd crashed',"message='pod: test-cluster-backup-drqd-mxqc2, test-cluster-backup-drqd-n6jvd, test-cluster-backup-drqd-nrrhp, test-cluster-pgbackrest-restore-2zq58, test-cluster-pgbackrest-restore-4v86h, test-cluster-pgbackrest-restore-6w4xg, test-cluster-pgbackrest-restore-mwv6f, test-cluster-pgbackrest-restore-rsjnh, test-cluster-pgbackrest-restore-tnlk2, pgo-76698867bf-zg9wv container [operator] restart_count [3]'",,,None,,FALSE,Changes string value for pgbackrest.repo.schedules.incremental,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0094/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0094/0001,"{""field"": ""[\""spec\"", \""dataSource\"", \""pgbackrest\"", \""repo\"", \""schedules\"", \""incremental\""]"", ""testcase"": ""string-empty""}",False,,,,,None,,,,
91,testrun-2024-02-18-15-43/trial-02-0094/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: pgo-76698867bf-fqk4n container [operator] restart_count [1]',,,None,,FALSE,Not sure what acto is doing since field is empty,test-cluster-backup is a job. Completed pod is marked as failed.
92,testrun-2024-02-18-15-43/trial-02-0094/0003,"{""field"": ""[\""spec\"", \""userInterface\"", \""pgAdmin\"", \""dataVolumeClaimSpec\""]"", ""testcase"": ""object-deletion""}",True,,message='pod: pgo-76698867bf-fqk4n container [operator] restart_count [2]',,,None,,FALSE,Deletes pgAdmin dataVolumeClaimSpec obect,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0095/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0096/0000,{},False,,,,,None,,,,
93,testrun-2024-02-18-15-43/trial-02-0096/0001,"{""field"": ""[\""status\"", \""registrationRequired\"", \""pgoVersion\""]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-xg6t7 container [operator] restart_count [1]',,,None,,FALSE,Deletes pgoVersion value,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0097/0000,{},False,,,,,None,,,,
94,testrun-2024-02-18-15-43/trial-02-0097/0001,"{""field"": ""[\""status\"", \""registrationRequired\"", \""pgoVersion\""]"", ""testcase"": ""string-change""}",True,,message='pod: pgo-76698867bf-lztsq container [operator] restart_count [1]',,,None,,FALSE,Changes pgoVersion value,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0098/0000,{},False,,,,,None,,,,
95,testrun-2024-02-18-15-43/trial-02-0098/0001,"{""field"": ""[\""status\"", \""registrationRequired\"", \""pgoVersion\""]"", ""testcase"": ""string-empty""}",True,,message='pod: pgo-76698867bf-9b8kb container [operator] restart_count [1]',,,None,,FALSE,Sets pgoVersion value to be empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0099/0000,{},False,,,,,None,,,,
96,testrun-2024-02-18-15-43/trial-02-0099/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""sidecars\"", \""pgbackrestConfig\"", \""resources\"", \""requests\""]"", ""testcase"": ""object-deletion""}",True,message='Pod test-cluster-backup-l4mh-6czrd crashed',"message='statefulset: test-cluster-instance1-9psp replicas [0] ready_replicas [None], test-cluster-repo-host replicas [0] ready_replicas [None]\npod: test-cluster-backup-l4mh-6czrd, test-cluster-backup-l4mh-jzzdx, test-cluster-backup-l4mh-m7vh8, test-cluster-backup-l4mh-r8tk2, test-cluster-backup-l4mh-rfzfq, pgo-76698867bf-7m7sl container [operator] restart_count [2]'",,,None,,FALSE,Changes string value for pgbackrest.repo.schedules.incremental,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0100/0000,{},False,,,,,None,,,,
97,testrun-2024-02-18-15-43/trial-02-0100/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""sidecars\"", \""pgbackrestConfig\"", \""resources\"", \""requests\""]"", ""testcase"": ""object-empty""}",True,,message='pod: pgo-76698867bf-9jjd5 container [operator] restart_count [1]',,,None,,FALSE,Sets pgbackrestConfig resouce request to be an empty object,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0101/0000,{},False,,,,,None,,,,
98,testrun-2024-02-18-15-43/trial-02-0101/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""configuration\"", 0, \""downwardAPI\"", \""items\"", 0, \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_increase""}",True,message='Pod test-cluster-backup-zf7m-4qq2f crashed',"message='statefulset: test-cluster-instance1-v9s6 replicas [0] ready_replicas [None], test-cluster-repo-host replicas [0] ready_replicas [None]\npod: test-cluster-backup-zf7m-4qq2f, test-cluster-backup-zf7m-bjrdj, test-cluster-backup-zf7m-nc6c6, test-cluster-backup-zf7m-tjbwg, test-cluster-backup-zf7m-zflr4, pgo-76698867bf-m8hzk container [operator] restart_count [2]'",,,None,,FALSE,Sets pgbackrest resource config object to empty,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0102/0000,{},False,,,,,None,,,,
99,testrun-2024-02-18-15-43/trial-02-0102/0001,"{""field"": ""[\""spec\"", \""backups\"", \""pgbackrest\"", \""configuration\"", 0, \""downwardAPI\"", \""items\"", 0, \""resourceFieldRef\"", \""divisor\""]"", ""testcase"": ""k8s-quantity_decrease""}",True,message='Pod test-cluster-backup-hhdt-7jcr2 crashed',"message='statefulset: test-cluster-instance1-kj8s replicas [0] ready_replicas [None], test-cluster-repo-host replicas [0] ready_replicas [None]\npod: test-cluster-backup-hhdt-7jcr2, test-cluster-backup-hhdt-cdskg, test-cluster-backup-hhdt-lkgp5, test-cluster-backup-hhdt-lz548, test-cluster-backup-hhdt-rrb2d, pgo-76698867bf-k8fsz container [operator] restart_count [2]'",,,None,,FALSE,Decreases resourceRef divisor,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0103/0000,{},False,,,,,None,,,,
100,testrun-2024-02-18-15-43/trial-02-0103/0001,"{""field"": ""[\""status\"", \""pgbackrest\"", \""scheduledBackups\"", 0, \""type\""]"", ""testcase"": ""string-deletion""}",True,,message='pod: pgo-76698867bf-gm8p8 container [operator] restart_count [1]',,,None,,FALSE,Deletes the type value of the first element of scheduledBackups,test-cluster-backup is a job. Completed pod is marked as failed.
,testrun-2024-02-18-15-43/trial-02-0104/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0104/0001,"{""field"": ""[\""status\"", \""pgbackrest\"", \""scheduledBackups\"", 0, \""type\""]"", ""testcase"": ""string-change""}",True,,message='pod: pgo-76698867bf-mwx86 container [operator] restart_count [1]',,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0105/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0106/0000,{},False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0106/0001,"{""field"": ""[\""spec\"", \""instances\"", 0, \""walVolumeClaimSpec\"", \""resources\"", \""limits\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0106/0002,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: pgo-76698867bf-4fv9k container [operator] restart_count [1]',,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0106/0003,"{""field"": ""[\""spec\"", \""instances\"", 0, \""containers\"", 0, \""startupProbe\""]"", ""testcase"": ""k8s-http_probe""}",False,,,,,None,,,,
,testrun-2024-02-18-15-43/trial-02-0106/0004,"{""field"": """", ""testcase"": ""revert""}",True,,message='pod: pgo-76698867bf-4fv9k container [operator] restart_count [2]',,,None,,,,
