Trial number                                ,Testcase                                                                                                                                                                                      ,Alarm ,Crash ,Health ,Operator log ,Consistency                                                                                                                                                                                                                                   ,Differential                                                                                                                                      ,Custom
6e6985fb0b4aee240163c41878f6f71c/0000       ,6e6985fb0b4aee240163c41878f6f71c                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-02-0001/0006 -> 6e6985fb0b4aee240163c41878f6f71c/0000: failed attempt recovering to seed state - system state diff ,
76b04b36ea5caa2fd42f72cc902dbd8e/0000       ,76b04b36ea5caa2fd42f72cc902dbd8e                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0000/0001 -> 76b04b36ea5caa2fd42f72cc902dbd8e/0000: failed attempt recovering to seed state - system state diff ,
8b7f62ed8ada93722ee3e2b8de72a485/0000       ,8b7f62ed8ada93722ee3e2b8de72a485                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0000/0006 -> 8b7f62ed8ada93722ee3e2b8de72a485/0000: failed attempt recovering to seed state - system state diff ,
8bb2694de3a45f2efbb04de197289785/0000       ,8bb2694de3a45f2efbb04de197289785                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-02-0002/0002 -> 8bb2694de3a45f2efbb04de197289785/0000: failed attempt recovering to seed state - system state diff ,
994aee3306115c249a35c7f59e9dbd45/0000       ,994aee3306115c249a35c7f59e9dbd45                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-03-0001/0001 -> 994aee3306115c249a35c7f59e9dbd45/0000: failed attempt recovering to seed state - system state diff ,
997040cc42df087bd62454ed659baa95/0000       ,997040cc42df087bd62454ed659baa95                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-02-0001/0001 -> 997040cc42df087bd62454ed659baa95/0000: failed attempt recovering to seed state - system state diff ,
9f70c83f8bbcd192b11902bf8a1d5d4d/0000       ,9f70c83f8bbcd192b11902bf8a1d5d4d                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0005/0002 -> 9f70c83f8bbcd192b11902bf8a1d5d4d/0000: failed attempt recovering to seed state - system state diff ,
afd503c19b8848e3f8a2e06fa617dd24/0000       ,afd503c19b8848e3f8a2e06fa617dd24                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-02-0002/0003 -> afd503c19b8848e3f8a2e06fa617dd24/0000: failed attempt recovering to seed state - system state diff ,
afeddfc6c34ca37ed4e114da011e7f84/0000       ,afeddfc6c34ca37ed4e114da011e7f84                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-02-0001/0002 -> afeddfc6c34ca37ed4e114da011e7f84/0000: failed attempt recovering to seed state - system state diff ,
affa9ed3c45bfb6fb38356264ae2bb57/0000       ,affa9ed3c45bfb6fb38356264ae2bb57                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-02-0004/0002 -> affa9ed3c45bfb6fb38356264ae2bb57/0000: failed attempt recovering to seed state - system state diff ,
c7c0522e8edf05df3d0b83d094675f89/0000       ,c7c0522e8edf05df3d0b83d094675f89                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0003/0004 -> c7c0522e8edf05df3d0b83d094675f89/0000: failed attempt recovering to seed state - system state diff ,
ce15ac7f52ee9208cc6d0d3439a3ec18/0000       ,ce15ac7f52ee9208cc6d0d3439a3ec18                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-00-0000/0002 -> ce15ac7f52ee9208cc6d0d3439a3ec18/0000: failed attempt recovering to seed state - system state diff ,
dc265d95c37e6744d713b3fed5744eb0/0000       ,dc265d95c37e6744d713b3fed5744eb0                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-02-0000/0001 -> dc265d95c37e6744d713b3fed5744eb0/0000: failed attempt recovering to seed state - system state diff ,
e214d02df0568e0a9f92282a7a6747f0/0000       ,e214d02df0568e0a9f92282a7a6747f0                                                                                                                                                              ,True  ,      ,       ,             ,                                                                                                                                                                                                                                              ,testrun-2024-03-15-11-08/trial-01-0000/0002 -> e214d02df0568e0a9f92282a7a6747f0/0000: failed attempt recovering to seed state - system state diff ,
testrun-2024-03-15-11-08/trial-00-0000/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-00-0000/0001 ,"{""field"": ""[\""spec\"", \""volumes\"", 0, \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""storageClassName\""]"", ""testcase"": ""string-deletion""}"                          ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-00-0000/0002 ,"{""field"": ""[\""spec\"", \""volumes\"", 0, \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""storageClassName\""]"", ""testcase"": ""string-deletion""}"                          ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='', path=[""spec"", ""volumes"", 0, ""ephemeral"", ""volumeClaimTemplate"", ""spec"", ""storageClassName""]) system_state_diff=None"                       ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-00-0001/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-00-0001/0001 ,"{""field"": ""[\""spec\"", \""volumes\"", 0, \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""storageClassName\""]"", ""testcase"": ""string-change""}"                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-00-0001/0002 ,"{""field"": ""[\""spec\"", \""volumes\"", 0, \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""storageClassName\""]"", ""testcase"": ""string-change""}"                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-00-0001/0003 ,"{""field"": ""[\""spec\"", \""volumes\"", 0, \""ephemeral\"", \""volumeClaimTemplate\"", \""spec\"", \""storageClassName\""]"", ""testcase"": ""string-empty""}"                             ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='ACTOKEY', curr='', path=[""spec"", ""volumes"", 0, ""ephemeral"", ""volumeClaimTemplate"", ""spec"", ""storageClassName""]) system_state_diff=None"                       ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-00-0002/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-00-0002/0001 ,"{""field"": ""[\""spec\"", \""volumeClaimTemplates\"", 0, \""spec\"", \""resources\"", \""limits\"", \""ACTOKEY\""]"", ""testcase"": ""integer-deletion""}"                                  ,True  ,      ,       ,             ,"message='Found no matching fields for input' input_diff=Diff(prev='NotPresent', curr=5, path=[""spec"", ""volumeClaimTemplates"", 0, ""spec"", ""resources"", ""limits"", ""ACTOKEY""]) system_state_diff=None"                              ,None                                                                                                                                              ,
testrun-2024-03-15-11-08/trial-00-0003/0000 ,{}                                                                                                                                                                                            ,False ,      ,       ,             ,                                                                                                                                                                                                                                              ,None                                                                                                                                              ,
