Trial number,Testcase,Crash,Health,Operator log,Consistency,Differential,Custom
acto_result/trial-00-0000/0000,{},,,,,None,
acto_result/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""fallback\"", \""failureThreshold\""]"", ""testcase"": ""number-deletion""}",,,,,None,
acto_result/trial-00-0000/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""fallback\"", \""failureThreshold\""]"", ""testcase"": ""number-change""}",,,,,None,
acto_result/trial-00-0000/0004,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0000/0005,"{""field"": ""[\""spec\"", \""advanced\"", \""horizontalPodAutoscalerConfig\"", \""behavior\"", \""scaleUp\"", \""policies\""]"", ""testcase"": ""array-deletion""}",,,,,None,
acto_result/trial-00-0000/0006,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0000/0007,"{""field"": ""[\""spec\"", \""advanced\"", \""horizontalPodAutoscalerConfig\"", \""behavior\"", \""scaleUp\"", \""policies\""]"", ""testcase"": ""array-push""}",,,,,None,
acto_result/trial-00-0000/0008,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0000/0009,"{""field"": ""[\""spec\"", \""advanced\"", \""horizontalPodAutoscalerConfig\"", \""behavior\"", \""scaleUp\"", \""policies\""]"", ""testcase"": ""array-empty""}",,,,,None,
acto_result/trial-00-0000/0010,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0001/0000,{},,,,,None,
acto_result/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""triggers\"", 0, \""metadata\"", \""ACTOKEY\""]"", ""testcase"": ""string-deletion""}",,,,,None,
acto_result/trial-00-0001/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0001/0003,"{""field"": ""[\""spec\"", \""triggers\"", 0, \""metadata\"", \""ACTOKEY\""]"", ""testcase"": ""string-change""}",,,,,None,
acto_result/trial-00-0001/0004,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0001/0005,"{""field"": ""[\""spec\"", \""triggers\"", 0, \""metadata\"", \""ACTOKEY\""]"", ""testcase"": ""string-empty""}",,,,,None,
acto_result/trial-00-0001/0006,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0001/0007,"{""field"": ""[\""spec\"", \""triggers\"", 0, \""authenticationRef\"", \""name\""]"", ""testcase"": ""string-deletion""}",,,,,None,
acto_result/trial-00-0001/0008,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0001/0009,"{""field"": ""[\""spec\"", \""triggers\"", 0, \""authenticationRef\"", \""name\""]"", ""testcase"": ""string-deletion""}",,,,,None,
acto_result/trial-00-0001/0010,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0002/0000,{},,,,,None,
acto_result/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""scaleTargetRef\"", \""apiVersion\""]"", ""testcase"": ""string-empty""}",,,,,None,
acto_result/trial-00-0002/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0002/0003,"{""field"": ""[\""spec\"", \""advanced\"", \""scalingModifiers\"", \""activationTarget\""]"", ""testcase"": ""string-deletion""}",,,,,None,
acto_result/trial-00-0002/0004,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0002/0005,"{""field"": ""[\""spec\"", \""advanced\"", \""scalingModifiers\"", \""activationTarget\""]"", ""testcase"": ""string-change""}",,,,,None,
acto_result/trial-00-0002/0006,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0002/0007,"{""field"": ""[\""spec\"", \""advanced\"", \""scalingModifiers\"", \""activationTarget\""]"", ""testcase"": ""string-empty""}",,,,,None,
acto_result/trial-00-0002/0008,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0002/0009,"{""field"": ""[\""spec\"", \""advanced\"", \""horizontalPodAutoscalerConfig\"", \""behavior\"", \""scaleUp\"", \""stabilizationWindowSeconds\""]"", ""testcase"": ""number-deletion""}",,,,,None,
acto_result/trial-00-0002/0010,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
acto_result/trial-00-0003/0000,{},,,,,None,
acto_result/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""advanced\"", \""horizontalPodAutoscalerConfig\"", \""behavior\"", \""scaleUp\"", \""stabilizationWindowSeconds\""]"", ""testcase"": ""number-change""}",,,,,None,
acto_result/trial-00-0003/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
