Trial number,Testcase,Crash,Health,Operator log,Consistency,Differential,Custom
testrun-2024-01-23-14-44/trial-00-0000/0000,{},,,,,None,
testrun-2024-01-23-14-44/trial-00-0000/0001,"{""field"": ""[\""spec\"", \""defaults\"", \""templates\"", \""shardServiceTemplate\""]"", ""testcase"": ""string-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0000/0002,"{""field"": ""[\""spec\"", \""defaults\"", \""templates\"", \""shardServiceTemplate\""]"", ""testcase"": ""string-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0000/0003,"{""field"": ""[\""spec\"", \""defaults\"", \""templates\"", \""shardServiceTemplate\""]"", ""testcase"": ""string-change""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0000/0004,"{""field"": ""[\""spec\"", \""defaults\"", \""templates\"", \""shardServiceTemplate\""]"", ""testcase"": ""string-empty""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0000/0005,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0]"", ""testcase"": ""object-deletion""}",,,"message='Invalid input detected' responsible_property=[""spec"", ""configuration"", ""clusters"", 0, ""layout"", ""shards"", 0, ""replicas"", 0, ""name""]",,None,
testrun-2024-01-23-14-44/trial-00-0000/0006,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0000/0007,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0]"", ""testcase"": ""object-empty""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0000/0008,"{""field"": ""[\""spec\"", \""templates\"", \""podTemplates\"", 0, \""podDistribution\""]"", ""testcase"": ""array-push""}",,message='statefulset: chi-test-cluster-replicated-0-0 replicas [1] ready_replicas [None]',,,None,
testrun-2024-01-23-14-44/trial-00-0001/0000,{},,,,,None,
testrun-2024-01-23-14-44/trial-00-0001/0001,"{""field"": ""[\""spec\"", \""templates\"", \""podTemplates\"", 0, \""podDistribution\""]"", ""testcase"": ""array-pop""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0001/0002,"{""field"": ""[\""spec\"", \""templates\"", \""podTemplates\"", 0, \""podDistribution\""]"", ""testcase"": ""array-pop""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0001/0003,"{""field"": ""[\""spec\"", \""templates\"", \""podTemplates\"", 0, \""podDistribution\""]"", ""testcase"": ""array-empty""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0000,{},,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0001,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""Yes""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0002,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""yes""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0003,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""Off""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0004,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""off""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0005,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""On""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0006,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""on""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0007,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""Disable""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0008,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""disable""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0002/0009,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""Enable""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0003/0000,{},,,,,None,
testrun-2024-01-23-14-44/trial-00-0003/0001,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""secure\""]"", ""testcase"": ""enable""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0000,{},,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0001,"{""field"": ""[\""spec\"", \""reconciling\"", \""cleanup\"", \""unknownObjects\"", \""pvc\""]"", ""testcase"": ""string-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0002,"{""field"": ""[\""spec\"", \""reconciling\"", \""cleanup\"", \""unknownObjects\"", \""pvc\""]"", ""testcase"": ""string-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0003,"{""field"": ""[\""spec\"", \""reconciling\"", \""cleanup\"", \""unknownObjects\"", \""pvc\""]"", ""testcase"": """"}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0004,"{""field"": ""[\""spec\"", \""reconciling\"", \""cleanup\"", \""unknownObjects\"", \""pvc\""]"", ""testcase"": ""Retain""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0005,"{""field"": ""[\""spec\"", \""reconciling\"", \""cleanup\"", \""unknownObjects\"", \""pvc\""]"", ""testcase"": ""Delete""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0006,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""httpPort\""]"", ""testcase"": ""number-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0007,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""httpPort\""]"", ""testcase"": ""number-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0008,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0004/0009,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\"", 0, \""replicas\"", 0, \""httpPort\""]"", ""testcase"": ""number-change""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0005/0000,{},,,,,None,
testrun-2024-01-23-14-44/trial-00-0005/0001,"{""field"": ""[\""spec\"", \""templates\"", \""podTemplates\"", 0, \""metadata\""]"", ""testcase"": ""object-empty""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0005/0002,"{""field"": ""[\""spec\"", \""configuration\"", \""zookeeper\"", \""nodes\"", 0, \""host\""]"", ""testcase"": ""string-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0005/0003,"{""field"": ""[\""spec\"", \""configuration\"", \""zookeeper\"", \""nodes\"", 0, \""host\""]"", ""testcase"": ""string-change""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0006/0000,{},,,,,None,
testrun-2024-01-23-14-44/trial-00-0006/0001,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\""]"", ""testcase"": ""array-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0006/0002,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0006/0003,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\""]"", ""testcase"": ""array-push""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0006/0004,"{""field"": """", ""testcase"": ""revert""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0006/0005,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\""]"", ""testcase"": ""array-pop""}",message='Pod clickhouse-operator-8697784fc9-k72pj crashed',"message='deployment: clickhouse-operator replicas [1] ready_replicas [None], clickhouse-operator condition [Available] status [False] message [Deployment does not have minimum availability.]\npod: clickhouse-operator-8697784fc9-k72pj container [clickhouse-operator] restart_count [6]'",,,None,
testrun-2024-01-23-14-44/trial-00-0007/0000,{},,,,,None,
testrun-2024-01-23-14-44/trial-00-0007/0001,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""shards\""]"", ""testcase"": ""array-empty""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0007/0002,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""replicas\"", 0, \""templates\"", \""serviceTemplate\""]"", ""testcase"": ""string-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0007/0003,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""replicas\"", 0, \""templates\"", \""serviceTemplate\""]"", ""testcase"": ""string-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0007/0004,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""replicas\"", 0, \""templates\"", \""serviceTemplate\""]"", ""testcase"": ""string-change""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0007/0005,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""layout\"", \""replicas\"", 0, \""templates\"", \""serviceTemplate\""]"", ""testcase"": ""string-empty""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0007/0006,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""templates\"", \""podTemplate\""]"", ""testcase"": ""string-deletion""}",,,,,None,
testrun-2024-01-23-14-44/trial-00-0007/0007,"{""field"": ""[\""spec\"", \""configuration\"", \""clusters\"", 0, \""templates\"", \""podTemplate\""]"", ""testcase"": ""string-deletion""}",,,,,None,
